order_book_id,datetime,last_quantity,side,last_price,transaction_cost
300024.XSHE,2020-08-18,11200.0,SELL,15.51,0
300026.XSHE,2020-08-18,55700.0,BUY,5.45,0
300058.XSHE,2020-08-18,16500.0,SELL,7.52,0
300070.XSHE,2020-08-18,21200.0,SELL,9.25,0
300072.XSHE,2020-08-18,8100.0,SELL,5.66,0
300088.XSHE,2020-08-18,78800.0,BUY,11.81,0
300113.XSHE,2020-08-18,2100.0,BUY,22.1,0
300115.XSHE,2020-08-18,4600.0,SELL,23.93,0
300133.XSHE,2020-08-18,15800.0,SELL,8.51,0
300134.XSHE,2020-08-18,1800.0,SELL,14.12,0
300166.XSHE,2020-08-18,8800.0,SELL,14.17,0
300168.XSHE,2020-08-18,1300.0,BUY,25.28,0
300180.XSHE,2020-08-18,800.0,SELL,7.13,0
300182.XSHE,2020-08-18,16400.0,SELL,5.06,0
300197.XSHE,2020-08-18,13600.0,SELL,3.0,0
300207.XSHE,2020-08-18,11800.0,SELL,25.9,0
300212.XSHE,2020-08-18,700.0,SELL,46.8,0
300244.XSHE,2020-08-18,7500.0,BUY,41.9,0
300251.XSHE,2020-08-18,12400.0,SELL,15.4,0
300253.XSHE,2020-08-18,8600.0,BUY,21.4,0
300257.XSHE,2020-08-18,3500.0,SELL,19.45,0
300271.XSHE,2020-08-18,3800.0,SELL,27.38,0
300274.XSHE,2020-08-18,9500.0,SELL,21.0,0
300285.XSHE,2020-08-18,23300.0,BUY,37.65,0
300296.XSHE,2020-08-18,10800.0,SELL,6.82,0
300315.XSHE,2020-08-18,15600.0,SELL,8.44,0
300316.XSHE,2020-08-18,3800.0,SELL,25.12,0
300324.XSHE,2020-08-18,6100.0,SELL,6.91,0
300357.XSHE,2020-08-18,2300.0,BUY,62.41,0
300418.XSHE,2020-08-18,2900.0,SELL,25.41,0
300474.XSHE,2020-08-18,3400.0,BUY,83.5,0
300482.XSHE,2020-08-18,1800.0,SELL,90.18,0
300496.XSHE,2020-08-18,6500.0,BUY,91.0,0
300558.XSHE,2020-08-18,1000.0,SELL,132.0,0
300595.XSHE,2020-08-18,2200.0,BUY,59.09,0
300618.XSHE,2020-08-18,5200.0,SELL,76.94,0
300630.XSHE,2020-08-18,1600.0,SELL,41.93,0
600006.XSHG,2020-08-18,4300.0,SELL,4.82,0
600008.XSHG,2020-08-18,38100.0,SELL,3.43,0
600017.XSHG,2020-08-18,14500.0,SELL,2.84,0
600021.XSHG,2020-08-18,41700.0,BUY,7.85,0
600022.XSHG,2020-08-18,22300.0,SELL,1.41,0
600026.XSHG,2020-08-18,15800.0,SELL,7.64,0
600037.XSHG,2020-08-18,9500.0,SELL,14.21,0
600039.XSHG,2020-08-18,21200.0,SELL,4.36,0
600053.XSHG,2020-08-18,3700.0,SELL,29.25,0
600056.XSHG,2020-08-18,7100.0,SELL,16.43,0
600058.XSHG,2020-08-18,14900.0,BUY,7.09,0
600060.XSHG,2020-08-18,5900.0,SELL,14.13,0
600062.XSHG,2020-08-18,9200.0,SELL,13.91,0
600064.XSHG,2020-08-18,25600.0,BUY,10.92,0
600073.XSHG,2020-08-18,4100.0,SELL,11.72,0
600079.XSHG,2020-08-18,25800.0,BUY,37.53,0
600094.XSHG,2020-08-18,17600.0,SELL,6.0,0
600120.XSHG,2020-08-18,5500.0,SELL,7.29,0
600125.XSHG,2020-08-18,9100.0,SELL,6.09,0
600126.XSHG,2020-08-18,44700.0,BUY,8.05,0
600132.XSHG,2020-08-18,600.0,SELL,83.3,0
600138.XSHG,2020-08-18,6800.0,SELL,12.48,0
600141.XSHG,2020-08-18,5300.0,SELL,11.66,0
600143.XSHG,2020-08-18,18000.0,SELL,16.63,0
600153.XSHG,2020-08-18,51300.0,BUY,9.76,0
600155.XSHG,2020-08-18,14800.0,SELL,14.65,0
600158.XSHG,2020-08-18,12200.0,SELL,13.16,0
600160.XSHG,2020-08-18,11900.0,SELL,7.35,0
600161.XSHG,2020-08-18,1100.0,SELL,47.07,0
600166.XSHG,2020-08-18,89800.0,SELL,3.22,0
600167.XSHG,2020-08-18,31700.0,BUY,13.83,0
